cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
185,2561,0,0,0.364217252396166,0,0.364217252396166,0
185,2562,0,0,0.761194029850746,0,0.761194029850746,0
186,186,0,0,0,0,0,1
186,2233,0,0.633879781420765,0,0.633879781420765,0,0
186,2234,0,0.417721518987342,0,0.417721518987342,0,0
186,2563,0,0,0.326710816777042,0,0.326710816777042,0
186,2564,0,0,0.706896551724138,0,0.706896551724138,0
187,187,0.96401028277635,1,0.96401028277635,1,0.96401028277635,1
188,188,1,1,1,1,1,1
189,189,0.942206654991243,1,0.942206654991243,1,0.942206654991243,1
190,190,0,0,0,0,0,1
190,2235,0,0.655231560891938,0,0.655231560891938,0,0
190,2236,0,0.352941176470588,0,0.352941176470588,0,0
190,2565,0,0,0.41897233201581,0,0.41897233201581,0
190,2566,0,0,0.769953051643192,0,0.769953051643192,0
191,2109,0,0,0.634730538922156,0,0,0
191,2110,0,0,0.458161865569273,0,0,0
191,2161,0,0.558258642765685,0,0,0,0
191,2162,0,0.50531914893617,0,0,0,0
192,192,0,0,0.987220447284345,0,0.9888,0.998420221169036
192,2160,0.786764705882353,0.804347826086957,0,0.802177858439201,0,0
193,193,0.931818181818182,1,0.931818181818182,1,0.931818181818182,1
194,194,1,1,1,1,1,1
195,195,0.99116781157998,1,0.99116781157998,1,0.99116781157998,1
196,196,0,0,0,0,0,1
196,2237,0,0.649243466299862,0,0.649243466299862,0,0
196,2238,0,0.443740095087163,0,0.443740095087163,0,0
196,2567,0,0,0.421221864951768,0,0.421221864951768,0
196,2568,0,0,0.699080157687254,0,0.699080157687254,0
197,197,0.806262230919765,1,0.806262230919765,1,0.806262230919765,1
199,199,1,1,1,1,1,1
200,200,1,1,1,1,1,1
201,201,0.847058823529412,1,0.847058823529412,1,0.847058823529412,1
202,202,1,1,1,1,1,1
203,203,1,0.848484848484849,0.848484848484849,0.848484848484849,0.848484848484849,1
204,2111,0,0,0.597590361445783,0,0,0
204,2112,0,0,0.605042016806723,0,0,0
204,2239,0,0.545682102628285,0,0,0,0
204,2240,0,0.671945701357466,0,0,0,0
205,205,1,0.882154882154882,0.882154882154882,0.882154882154882,0.882154882154882,1
206,206,0,0,0,0,0,1
206,2242,0,0.893815635939323,0,0.893815635939323,0,0
206,2570,0,0,0.913907284768212,0,0.913907284768212,0
207,207,1,1,1,1,1,1
208,208,0.905487804878049,0.905487804878049,1,0.90273556231003,0.997222222222222,0.997222222222222
209,209,1,1,1,1,1,1
210,210,1,1,1,1,1,1
211,211,1,1,1,0.817708333333333,0.817708333333333,0.817708333333333
212,212,0.962843295638126,1,0.962843295638126,1,0.962843295638126,1
213,213,0.935762224352828,1,0.935762224352828,1,0.935762224352828,1
214,214,0.968553459119497,1,0.968553459119497,1,0.968553459119497,1
215,215,1,1,1,1,1,1
216,216,1,0.922666666666667,0.922666666666667,0.922666666666667,0.922666666666667,1
217,217,1,0.845577211394303,0.845577211394303,0.845577211394303,0.845577211394303,1
218,218,0,0.99672131147541,0,0.99672131147541,0,1
218,2113,0,0,0.497545008183306,0,0.497545008183306,0
218,2114,0,0,0.56786271450858,0,0.56786271450858,0
219,219,0,1,0,1,0,1
219,2115,0,0,0.178368121442125,0,0.178368121442125,0
219,2116,0,0,0.499219968798752,0,0.499219968798752,0
219,2117,0,0,0.324607329842932,0,0.324607329842932,0
220,220,0.826989619377163,1,0.826989619377163,1,0.826989619377163,1
221,221,0,0,0.896825396825397,0,0,0
221,2164,0.900634249471459,0.920892494929006,0,0,0,0
222,222,0,0,0.784313725490196,0,0.151515151515152,0.335135135135135
222,2165,0.854545454545454,0.82051282051282,0,0.24,0,0
223,223,0,0,0.845691382765531,0,0.843373493975904,0.997946611909651
223,2163,0.897703549060543,0.897435897435897,0,0.895074946466809,0,0
224,224,1,1,1,1,1,1
225,226,0.444444444444444,0,0,0,0,0
226,225,0,0,0.444444444444444,0,0.444444444444444,0
226,226,0.743801652892562,1,0.743801652892562,1,0.743801652892562,1
227,227,0,0,1,0,1,1
227,2243,0.7328,0.7328,0,0.7328,0,0
227,2244,0.352697095435685,0.352697095435685,0,0.352697095435685,0,0
228,2120,0,0,0.761363636363636,0,0,0
228,2166,0,0.913907284768212,0,0,0,0
229,229,0,1,0,1,0,1
229,2572,0,0,0.111776447105788,0,0.111776447105788,0
229,2573,0,0,0.419672131147541,0,0.419672131147541,0
229,2574,0,0,0.533333333333333,0,0.533333333333333,0
229,2575,0,0,0.284684684684685,0,0.284684684684685,0
230,230,0,0,0.99492385786802,0,0.989795918367347,0.994871794871795
230,2169,0.232142857142857,0.234234234234234,0,0.236363636363636,0,0
230,2171,0.707395498392283,0.711974110032362,0,0.716612377850163,0,0
231,231,1,0.977099236641221,0.977099236641221,0.977099236641221,0.977099236641221,1
232,232,0,1,0,1,0,1
232,2121,0,0,0.701492537313433,0,0.701492537313433,0
232,2122,0,0,0.467153284671533,0,0.467153284671533,0
233,233,0.88056206088993,1,0.88056206088993,1,0.88056206088993,1
234,234,1,1,1,1,1,1
235,235,1,1,1,1,1,1
236,236,0.91358024691358,0.909090909090909,0.914027149321267,0.909090909090909,0.914027149321267,1
237,237,0,0,0.842253521126761,0,0.842253521126761,1
237,2172,0.908180300500835,0.843881856540084,0,0.843881856540084,0,0
238,238,1,0.847290640394089,0.847290640394089,0.847290640394089,0.847290640394089,1
239,239,0,1,0,1,0,1
239,2123,0,0,0.233846153846154,0,0.233846153846154,0
239,2124,0,0,0.518324607329843,0,0.518324607329843,0
239,2125,0,0,0.382857142857143,0,0.382857142857143,0
240,240,0,1,0,1,0,1
240,2576,0,0,0.626349892008639,0,0.626349892008639,0
240,2577,0,0,0.531468531468531,0,0.531468531468531,0
241,241,0.888888888888889,0.933734939759036,0.918674698795181,0.933734939759036,0.918674698795181,1
242,242,0.822262118491921,1,0.822262118491921,1,0.822262118491921,1
243,243,0.719047619047619,1,0.719047619047619,1,0.719047619047619,1
244,2126,0,0,0.26928895612708,0,0,0
244,2127,0,0,0.121311475409836,0,0,0
244,2128,0,0,0.37037037037037,0,0,0
